,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,168.0,0.85,56880.0,48200.0,340.0,482.0,118.00829875518673,14.937759336099585,72.0
1,3.0,8.0,188.0,0.85,53140.0,46200.0,157.0,462.0,115.02164502164503,7.142857142857142,33.0
2,4.0,5.0,150.0,0.92,70680.0,48200.0,113.0,482.0,146.63900414937757,6.431535269709543,31.0
3,7.0,8.0,144.0,0.92,53000.0,42600.0,150.0,426.0,124.4131455399061,9.389671361502346,40.0
4,8.0,8.0,208.0,0.92,37440.0,26000.0,114.0,260.0,144.0,10.0,26.0
5,9.0,8.0,156.0,0.92,35040.0,28200.0,152.0,282.0,124.25531914893617,9.929078014184398,28.0
6,10.0,5.0,166.0,0.92,51860.0,31700.0,137.0,317.0,163.596214511041,9.14826498422713,29.0
7,13.0,8.0,232.0,0.85,53900.0,29800.0,88.0,298.0,180.8724832214765,7.38255033557047,22.0
8,14.0,8.0,252.0,0.9,30700.0,24400.0,60.0,244.0,125.81967213114753,5.327868852459016,13.0
9,17.0,8.0,244.0,0.85,48550.0,32600.0,68.0,326.0,148.92638036809817,5.828220858895705,19.0
10,21.0,8.0,208.0,0.85,41480.0,30900.0,107.0,309.0,134.23948220064725,6.472491909385113,20.0
11,22.0,8.0,156.0,0.92,61840.0,31400.0,80.0,314.0,196.94267515923568,7.961783439490445,25.0
12,23.0,5.0,226.0,0.92,25270.0,21600.0,73.0,216.0,116.99074074074073,5.555555555555555,12.0
