,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
6,1.0,8.0,114.0,0.9,66810.0,54000.0,317.0,540.0,123.72222222222224,15.0,81.0,0.836322677841892,0.5240060437483365,1.3603287215902284,6.0
145,3.0,8.0,254.0,0.9,34070.0,14500.0,196.0,145.0,234.96551724137933,21.379310344827587,31.0,-1.3797233812416776,7.044526694625728,5.66480331338405,76.0
169,4.0,5.0,210.0,0.9,36020.0,31000.0,115.0,310.0,116.19354838709675,7.419354838709677,23.0,,,,54.0
184,5.0,5.0,156.0,0.85,80250.0,55900.0,289.0,559.0,143.55992844364937,12.701252236135955,71.0,0.485323501245226,2.4804241247686765,2.9657476260139024,27.0
249,8.0,5.0,218.0,0.85,54370.0,34100.0,111.0,341.0,159.44281524926686,6.158357771260997,21.0,-0.46978337541215076,3.364910461791053,2.8951270863789023,58.0
270,10.0,8.0,148.0,0.9,69420.0,47600.0,166.0,476.0,145.84033613445376,9.873949579831931,47.0,1.6764316152844043,2.712085622698921,4.388517237983326,23.0
279,11.0,8.0,122.0,0.9,78040.0,49400.0,119.0,494.0,157.9757085020243,6.477732793522267,32.0,1.3130643285972254,0.7497506704431873,2.0628149990404125,10.0
287,13.0,5.0,230.0,0.92,46350.0,24400.0,100.0,244.0,189.95901639344265,6.967213114754098,17.0,-0.1690308509457033,2.0045092791067503,1.835478428161047,64.0
295,14.0,5.0,148.0,0.85,113220.0,65300.0,105.0,653.0,173.3843797856049,6.431852986217458,42.0,2.368457399102906,2.74401304629856,5.112470445401466,23.0
432,22.0,5.0,258.0,0.85,41280.0,22700.0,70.0,227.0,181.8502202643172,7.929515418502203,18.0,0.2755891273047752,2.1102471343558227,2.385836261660598,78.0
