,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,3.0,8.0,160.0,0.9,59350.0,48700.0,173.0,487.0,121.86858316221767,8.624229979466119,42.0
1,4.0,8.0,190.0,0.9,61830.0,43000.0,113.0,430.0,143.79069767441862,5.5813953488372094,24.0
2,5.0,8.0,184.0,0.85,56510.0,43100.0,194.0,431.0,131.11368909512763,9.280742459396752,40.0
3,8.0,8.0,104.0,0.9,122740.0,92600.0,108.0,926.0,132.54859611231103,5.291576673866091,49.0
4,9.0,8.0,228.0,0.85,42640.0,36200.0,175.0,362.0,117.79005524861878,8.56353591160221,31.0
5,10.0,8.0,264.0,0.85,29960.0,21500.0,150.0,215.0,139.34883720930233,11.162790697674419,24.0
6,11.0,5.0,160.0,0.85,76430.0,58100.0,111.0,581.0,131.54905335628226,7.401032702237521,43.0
7,14.0,8.0,224.0,0.85,60910.0,41600.0,86.0,416.0,146.41826923076923,5.769230769230769,24.0
8,16.0,5.0,244.0,0.92,35610.0,22800.0,65.0,228.0,156.18421052631578,7.017543859649122,16.0
9,24.0,5.0,252.0,0.85,61140.0,29000.0,67.0,290.0,210.82758620689654,7.586206896551724,22.0
10,25.0,8.0,266.0,0.9,28580.0,9400.0,34.0,94.0,304.04255319148933,6.382978723404255,6.0
