,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
26,4.0,5.0,242.0,0.9,47660.0,26500.0,139.0,265.0,179.8490566037736,12.075471698113208,32.0,-0.28295138667655734,3.99275840029883,3.7098070136222727,70.0
74,8.0,5.0,246.0,0.92,38060.0,24000.0,101.0,240.0,158.58333333333334,7.5,18.0,0.2616022824631766,2.200879579050063,2.46248186151324,72.0
107,10.0,8.0,132.0,0.9,86540.0,65300.0,171.0,653.0,132.52679938744257,8.422664624808576,55.0,1.1673286052542025,1.228054470804214,2.3953830760584163,15.0
114,11.0,5.0,174.0,0.92,39730.0,33700.0,102.0,337.0,117.89317507418396,7.121661721068249,24.0,1.0,1.0,2.0,36.0
137,12.0,8.0,264.0,0.85,38610.0,23900.0,102.0,239.0,161.5481171548117,8.786610878661087,21.0,-0.185716686149552,2.960469422072553,2.774752735923001,81.0
149,13.0,8.0,194.0,0.92,38040.0,32100.0,83.0,321.0,118.50467289719626,5.607476635514018,18.0,-1.0,0.9999999999999918,-8.215650382226158e-15,46.0
150,17.0,8.0,246.0,0.85,46050.0,32800.0,73.0,328.0,140.39634146341464,5.487804878048781,18.0,0.9258200997725514,1.3580836626907808,2.283903762463332,72.0
168,21.0,8.0,170.0,0.85,75900.0,61200.0,96.0,612.0,124.01960784313728,5.718954248366013,35.0,2.0761369963434992,0.26687895729432454,2.3430159536378237,34.0
175,24.0,8.0,232.0,0.9,63170.0,23600.0,53.0,236.0,267.6694915254237,5.508474576271186,13.0,0.7844645405527362,0.29647214950516576,1.0809366900579018,65.0
179,26.0,5.0,252.0,0.92,36040.0,10800.0,41.0,108.0,333.7037037037037,6.481481481481481,7.0,,1.0000000000000004,,75.0
